"year","borough","uhf","gender","age","race","hiv_diagnoses","hiv_diagnosis_rate","concurrent_diagnoses","x_linked_to_care_within_3_months","aids_diagnoses","aids_diagnosis_rate","plwdhi_prevalence","x_viral_suppression","deaths","death_rate","hiv_related_death_rate","non_hiv_related_death_rate","age_group","diagnosis_to_death_ratio"
2011,"All","All","All","All","All",3379,48.3,640,66,2366,33.8,1.1,71,2040,13.6,5.8,7.8,"50+",3.55147058823529
2011,"All","All","Male","All","All",2595,79.1,480,66,1712,52.2,1.7,72,1423,13.4,5.7,7.7,"50+",5.90298507462686
2011,"All","All","Female","All","All",733,21.1,153,66,622,17.6,0.6,68,605,14,6,8,"50+",1.50714285714286
2011,"All","All","Transgender","All","All",51,NA,7,63,32,NA,NA,55,12,11.1,5.7,5.4,"50+",NA
2011,"All","All","Female","13 - 19","All",47,13.6,4,64,22,6.4,0.1,57,1,1.4,1.4,0,"<20",9.71428571428572
2011,"All","All","Female","20 - 29","All",178,24.7,20,67,96,13.3,0.3,48,19,7.2,3.2,4,"20-29",3.43055555555556
2011,"All","All","Female","30 - 39","All",176,26.9,31,66,133,20.3,0.6,61,53,9.4,5.7,3.7,"30-39",2.86170212765957
2011,"All","All","Female","40 - 49","All",195,33,50,62,210,35.5,1.4,66,184,15.9,7.8,8.1,"40-49",2.07547169811321
2011,"All","All","Female","50 - 59","All",130,23.5,32,72,133,24,1.3,73,231,24.1,11.5,12.6,"50+",0.975103734439834
2011,"All","All","Female","60+","All",57,6.7,23,68,60,7.1,0.3,81,129,33.5,10.6,22.9,"50+",0.2
2011,"All","All","Female","All","Asian/Pacific Islander",11,2.2,2,91,8,1.6,0.1,77,7,13.1,2.6,10.6,"50+",0.16793893129771
2011,"All","All","Female","All","Black",488,54.3,108,63,421,46.9,1.6,66,354,14.3,5.9,8.3,"50+",3.7972027972028
2011,"All","All","Female","All","Latino/Hispanic",232,23.1,42,75,191,19,0.8,69,200,13.1,6.2,7,"50+",1.76335877862595
2011,"All","All","Female","All","Other/Unknown",2,3.4,0,50,1,1.7,0.2,70,2,12.2,2.3,9.9,"50+",0.278688524590164
2011,"All","All","Female","All","White",50,4,8,54,33,2.6,0.1,77,54,13.8,5.6,8.2,"50+",0.289855072463768
2011,"All","All","Male","13 - 19","All",140,39.4,7,52,33,9.3,0.1,51,1,1.4,1.4,0,"<20",28.1428571428571
2011,"All","All","Male","20 - 29","All",957,142.1,104,62,370,54.9,0.7,54,47,6.4,3.6,2.8,"20-29",22.203125
2011,"All","All","Male","30 - 39","All",649,105.4,122,67,405,65.7,1.4,67,90,7.1,3.7,3.4,"30-39",14.8450704225352
2011,"All","All","Male","40 - 49","All",517,93.9,138,74,506,91.9,3.2,72,354,12.8,6.7,6.1,"40-49",7.3359375
2011,"All","All","Male","50 - 59","All",253,52.2,82,69,305,62.9,3.3,76,505,21.2,8.6,12.6,"50+",2.4622641509434
